Date,Max flow (ML/day),Min flow (ML/day),Mean flow (ML/day),Max flow (m3/s),Min flow (m3/s),Mean flow (m3/s),weekNumber
"2020-12-14 00:00",966.700,452.300,703.3,11.189,5.235,8.140,
"2020-12-13 00:00",966.700,506.600,795.5,11.189,5.864,9.208,
"2020-12-12 00:00",966.700,748.400,872.6,11.189,8.663,10.100,
"2020-12-11 00:00",1168.700,890.100,1026.3,13.526,10.302,11.878,
"2020-12-10 00:00",1290.800,1168.700,1247.0,14.940,13.526,14.433,
"2020-12-09 00:00",1250.400,853.200,994.0,14.472,9.875,11.504,
"2020-12-08 00:00",853.200,652.000,783.6,9.875,7.546,9.070,
"2020-12-07 00:00",715.300,652.000,676.8,8.279,7.546,7.833,
"2020-12-06 00:00",966.700,715.300,800.9,11.189,8.279,9.270,
"2020-12-05 00:00",928.000,748.400,820.8,10.741,8.663,9.500,
"2020-12-04 00:00",817.300,782.500,805.6,9.460,9.057,9.325,
"2020-12-03 00:00",1044.500,817.300,869.2,12.089,9.460,10.060,
"2020-12-02 00:00",1044.500,890.100,936.8,12.089,10.302,10.842,
"2020-12-01 00:00",966.700,890.100,924.9,11.189,10.302,10.705,
"2020-11-30 00:00",890.100,715.300,784.4,10.302,8.279,9.079,
"2020-11-29 00:00",853.200,748.400,784.2,9.875,8.663,9.077,
"2020-11-28 00:00",1044.500,853.200,943.0,12.089,9.875,10.915,
"2020-11-27 00:00",1332.000,1044.500,1187.9,15.416,12.089,13.748,
"2020-11-26 00:00",1837.100,1332.000,1558.2,21.263,15.416,18.035,
"2020-11-25 00:00",2268.200,1837.100,2131.7,26.252,21.263,24.672,
"2020-11-24 00:00",2114.000,1416.800,1660.5,24.467,16.398,19.219,
"2020-11-23 00:00",1585.200,928.000,1243.6,18.348,10.741,14.394,
"2020-11-22 00:00",928.000,890.100,922.0,10.741,10.302,10.671,
"2020-11-21 00:00",928.000,890.100,920.9,10.741,10.302,10.659,
"2020-11-20 00:00",966.700,928.000,956.9,11.189,10.741,11.075,
